titolo,autore,link,special
18 anni,Ariete,https://open.spotify.com/track/2jGbAhshvoqrd5SCuL3dAs?si=4b601b3c7fca4899,FALSE
Mille guerre,Ariete,https://open.spotify.com/track/3CXFLrWD9LoyPbKPTSUkQH?si=a5e4f0a9f3f04bf2,FALSE
Stare male,Ariete,https://open.spotify.com/track/1RDpED0JiovLloxoQfECJx?si=9030ec375b584f60,FALSE
L’ultima notte,Ariete,https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8?si=71f308d9443244d7,FALSE
Amianto,Ariete,https://open.spotify.com/track/5FeDmOkJlmFcb8arUhMi87?si=a8e4a71757e0483c,FALSE
Manzarek,Canova,https://open.spotify.com/track/1c545gcoPZglxnjHTxXBeX?si=46ba417a09344310,FALSE
Chapeau,Carl Brave,https://open.spotify.com/track/4qB5WfP7AzwPzU4OddDm4b?si=72b33f22fb8e4530,FALSE
Domenica,Chiamamifaro,https://open.spotify.com/track/2lQGFIpD5MRghyrjW91LoR?si=810f320b80e84508,FALSE
Pasta Rossa,Chiamamifaro,https://open.spotify.com/track/6QXCvzyzpLQsI6M99Qyalm?si=c6b621723b194c6a,FALSE
Quanto ti vorrei,Chiello,https://open.spotify.com/track/2KdcUxAJWAARnGTWmSWxwu?si=64bbc5f8ebb9481d,TRUE
Non lasciarmi cadere,Chiello,https://open.spotify.com/track/3j6JJZs12M8UBx8b9GZ9T1?si=5fa6d254920847b2,FALSE
Glovo,Comete,https://open.spotify.com/track/6TG6oEsAGfldAHzd1oFuKZ?si=5c98056915504bd2,FALSE
Too Good,Drake e Rihanna,https://open.spotify.com/track/3BtuIIrQlkujKPuWF2B85z?si=cbfc2ffb12ca4492,FALSE
Cerchi,Eugenio in Via di Gioia,https://open.spotify.com/track/0WGgNVPXpIdh7Pm9s7CCck?si=74f8f06e91de45f1,FALSE
Sunny,Fettuccine,https://open.spotify.com/track/5ehN3w2SMBlu6pe7eWU0kb?si=fd485f2e7e374b85,FALSE
Tattica,Fulminacci,https://open.spotify.com/track/2LVtLW8u1MOgdFNwY7lpeY?si=a65afe21fbc44ffb,FALSE
Belva,Gazzelle,https://open.spotify.com/track/6U5TPU2eZMqD6vQ0dd9Wyi?si=d89e2b5d947947b8,FALSE
Fottuta canzone,Gazzelle,https://open.spotify.com/track/4i30SbdrnaiYiwlMDhleQ4?si=a8b61b97ac3c4093,FALSE
Tuttecose,Gazzelle e Mara Sattei,https://open.spotify.com/track/6KLjClrXcuXiX4PWGHtmDk?si=c5bf5b508db8490e,FALSE
Indian Poem,Grand Soleil,https://open.spotify.com/track/5SQvpg7jNxgrl8cg5MwwoB?si=527ce4f32b274ce3,FALSE
Colazione da Gattullo,I miei migliori complimentio,https://open.spotify.com/track/6UT0Qh2CyIamk1PxwCZTSb?si=f8943654d9d041db,FALSE
Blue Lights,Jorja Smith,https://open.spotify.com/track/1cfs0qXoMWheM0s8Rq7jf0?si=6553e70808ca407a,FALSE
Agitation tropicales,L’Imperatrice,https://open.spotify.com/track/2La21GqU4fKTQLcfLxTeoz?si=ee62480d538341a7,FALSE
La lune,L’Imperatrice,https://open.spotify.com/track/6rbbDK18oqK3MxHGQhpmn2?si=bfcd3d67cbc54d8a,FALSE
Affogare,Legno,https://open.spotify.com/track/1PtuwJ7wmIILygcuYoXQvo?si=8a96910156484716,FALSE
Qualcosa di grande,Lunapop,https://open.spotify.com/track/2458SfCYo5icZorTEbo1TY?si=04d1c5d380244a49,FALSE
Se ci sarai,Lunapop,https://open.spotify.com/track/6VlmFj5V3FZznv0dbMXCPo?si=ec51d78408d5469a,FALSE
Denti,Merlot,https://open.spotify.com/track/3GhV7RABqsW9pnQpzEqXW7?si=8df0f81298e84b5c,FALSE
Nana,Polo & Pan,https://open.spotify.com/track/0Psz3az3RIYfJpnsajBT8N?si=da38e7f2f3d9452f,FALSE
Dorothy,Polo & Pan,https://open.spotify.com/track/2GuIRSthEpYN5MO6PGD7Vx?si=7863292ad9de4f55,TRUE
Gengis,Polo & Pan,https://open.spotify.com/track/1pYSFtyZaRyP4bwazfm5cy?si=745d67bc0f274ae8,FALSE
Io centro con i missili,Pop X,https://open.spotify.com/track/3ztvonnT0D1yP9dwA4zPMs?si=7dd2bd33c89741fe,FALSE
Secchio,Pop X,https://open.spotify.com/track/3LYQdgVQhZHG1BDlHTxYWO?si=914467f62c1c4f8f,FALSE
Incubo,Psicologi,https://open.spotify.com/track/3MFOUxCJgIdlBRQyf7clL8?si=ee8cf5cdb3c541f9,FALSE
No go cazzi,Romastino,https://open.spotify.com/track/0fF1q1tPK833VxCeNsHbk5?si=de451ce2176849fc,FALSE
Tadb,Rovere,https://open.spotify.com/track/3q6CTHUI3qjRkq0YqosAdt?si=0636dee5a99b4e2e,FALSE
Soli come a Bologna,Rovere,https://open.spotify.com/track/0m1TuBR8HVcO4YEnBCQvuy?si=0c45370be12b4bfb,FALSE
Keep Control ,Sono,https://open.spotify.com/track/2MKtM6VW4tlVf91tar3pPS?si=093b55697a064552,FALSE
fuck 3x,tha Supreme,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7?si=3eedae763f11428b,FALSE
Una direzione giusta,tha Supreme,https://open.spotify.com/track/1ktyKCzfI8hooCJP3X2yP5?si=95051e3120e642e5,FALSE
0ffline,tha Supreme,https://open.spotify.com/track/6ZWsKJdmoYu1oFJbzCmtK9?si=36639ff904c24ce2,FALSE
